Age,City_Tier,Education,Sector,Marital_Status,Dependents,Income,Rent,Groceries,Transport,Healthcare,Entertainment,Loan_Repayment,Savings_Goal,Potential_Savings
22,3,HS,Retail,Single,1,13770.5,3018.06,1730.99,966.41,792.45,1034.01,0.0,2391.27,6228.57
55,3,Bachelor,Manufacturing,Single,0,36753.63,10421.89,2567.12,3167.29,,1873.98,4838.2,5529.53,12803.02
49,1,PhD,Healthcare,Married,2,69990.94,19913.46,8871.08,3554.88,1741.72,1863.42,0.0,11611.16,34046.38
39,1,HS,IT,Single,0,38720.32,9890.31,2186.69,1799.49,2139.95,1679.39,3167.76,5002.3,17856.73
38,2,HS,Healthcare,Single,4,30723.43,6653.45,3342.27,1302.85,1776.34,587.8,0.0,2879.97,17060.72
59,1,Bachelor,,Single,0,52681.2,8170.82,5239.77,3396.63,1002.95,5838.56,6770.61,6020.82,22261.85
22,2,HS,Manufacturing,Married,1,25808.13,5950.59,2727.12,1385.51,200.0,2384.3,4538.44,3356.38,8622.17
51,3,Bachelor,Finance,Single,2,40721.07,7487.86,3774.76,3550.13,1065.57,2348.47,0.0,1768.07,22494.29
27,1,Bachelor,Retail,Single,1,32178.96,10420.13,3952.57,1648.91,1292.05,1220.41,0.0,6477.8,13644.9
22,2,Master,IT,Married,4,56773.7,16233.56,6091.58,2257.26,625.76,1220.08,0.0,6280.33,30345.45
43,3,Bachelor,Retail,Single,0,26884.6,5674.0,2795.36,1079.41,1113.45,1871.59,0.0,3236.93,14350.78
64,2,Bachelor,Gov,Married,0,34044.93,7277.16,3453.09,2211.51,1834.17,2759.18,3372.01,2042.19,13137.8
53,1,Master,IT,Married,2,87556.77,11690.53,5786.55,5487.26,6820.17,5562.06,0.0,12758.6,52210.2
54,1,HS,,Single,1,46667.58,8923.7,5027.29,2665.02,1124.85,790.64,0.0,5177.48,28136.09
52,3,Bachelor,Healthcare,Single,1,29199.12,10024.56,2139.71,1461.68,768.54,164.51,0.0,3266.01,14640.1
55,1,Bachelor,Gov,Single,1,38361.9,9342.5,4947.18,2219.98,2075.03,632.02,3662.32,4828.31,15482.86
42,2,HS,Retail,Married,2,24072.92,5141.11,2172.03,2361.66,1056.47,861.64,2050.19,1916.25,10429.82
24,3,HS,Manufacturing,Married,1,15528.99,3807.89,1504.16,320.37,579.59,61.35,1424.78,1213.68,7830.86
58,2,Bachelor,Gov,Single,0,38839.72,7893.51,4933.5,1834.31,1423.8,2995.97,4500.23,2499.58,15258.39
39,3,Bachelor,Manufacturing,Married,0,27742.69,6037.03,2343.07,1239.14,200.0,1663.2,3857.7,2305.6,12402.54
42,1,Bachelor,Manufacturing,Married,0,42252.18,9251.41,3628.82,1922.48,200.0,618.2,0.0,6570.24,26631.27
35,2,HS,Manufacturing,Single,4,32023.75,10386.37,3185.69,2209.33,1805.85,2248.65,1704.19,684.82,10483.66
